step,window_id,reward_update_count,total_feedback,labeled_feedback,train_fit_acc,acc_train,acc_heldout,acc_onpolicy,acc_fixed_ref
10000,0,1,100,100,0.9708333333333332,0.9916666746139526,0.7166666785875956,0.765625,0.65234375
30000,1,2,200,200,0.9708333333333333,0.9854166905085245,0.7666666706403097,0.6041666666666666,0.6692708333333334
50000,2,3,300,300,0.9763888888888889,0.9777778387069702,0.8222222725550333,0.828125,0.7135416666666666
70000,3,4,400,400,0.9739583333333334,0.96875,0.7541666825612386,0.7083333333333334,0.7161458333333334
90000,4,5,500,500,0.9708333333333332,0.9824999769528707,0.7433333198229471,0.65625,0.7278645833333334
110000,5,6,600,600,0.9708333333333332,0.9736111561457316,0.7388889193534851,0.7604166666666666,0.7317708333333334
130000,6,7,700,700,0.9708333333333333,0.973809540271759,0.7547619144121805,0.7604166666666666,0.7083333333333334
150000,7,8,800,800,0.9734375000000001,0.978124996026357,0.7854166825612386,0.8125,0.7447916666666666
170000,8,9,900,900,0.9777777777777777,0.9824074308077494,0.7407407561937968,0.7395833333333334,0.7200520833333334
190000,9,10,1000,1000,0.9729166666666668,0.978333314259847,0.7399999698003134,0.8802083333333334,0.72265625
