actor_entropy,actor_loss,actor_target_entropy,alpha_loss,alpha_value,batch_reward,bc_loss,critic_entropy,critic_entropy_max,critic_entropy_min,critic_loss,critic_norm_entropy,critic_norm_entropy_max,critic_norm_entropy_min,duration,episode,episode_reward,labeled_feedback,noisy_feedback,reward_acc_fixed_ref,reward_acc_heldout,reward_acc_onpolicy,reward_acc_train,step,step_in_window,total_duration,total_feedback,true_episode_reward,window_id
-0.416663078252819,-6.790402372916778,-6.0,0.5408062159686953,0.09605967722557208,-0.041512840089049784,0.0,10.511888486844999,38.76054996723408,3.392471636141146,0.33369658781482175,2.3112181519364214,8.556095903222865,0.7616702196476338,13.51354169845581,2.0,-39.617391902174546,0.0,0.0,0.0,0.0,0.0,0.0,2000,1000.0,0.0,0.0,33.52187269518552,-1.0
-3.046279194831848,-11.764465958595276,-6.0,0.2672805995792151,0.09050052573531867,-0.04248360534012317,0.0,11.027890086174011,41.36381978607178,0.19536951657384635,0.23631853262335062,1.8122302026748658,6.789237106323243,0.033476994533557444,13.158486366271973,3.0,-50.13146685177344,0.0,0.0,0.0,0.0,0.0,0.0,3000,2000.0,0.0,0.0,117.2049260264685,-1.0
3.7051034030914307,-1.6466803033351898,-6.0,0.7756306731700897,0.0798938496634364,0.3674029169380665,0.0,0.0,0.0,0.0,0.03559990936890244,0.0,0.0,0.0,15.425506830215454,4.0,-36.41166196249105,0.0,0.0,0.7734375,0.800000011920929,0.4635416666666667,0.9083333611488342,4000,3000.0,0.0,0.0,31.37473342624172,-0.5
3.2053536915779115,-2.8873975875377655,-6.0,0.6589599641561508,0.07154614321887492,0.38019480046629905,0.0,0.0,0.0,0.0,0.018394315609708427,0.0,0.0,0.0,11.019344806671143,5.0,352.9070062334649,50.0,0.0,0.0,0.0,0.0,0.0,5000,1000.0,0.0,50.0,44.01790750090777,0.0
2.741250282764435,-4.187230084419251,-6.0,0.5697922033667564,0.06517166851460934,0.39480640187859534,0.0,0.0,0.0,0.0,0.020867692057974636,0.0,0.0,0.0,11.00330114364624,6.0,498.23158174566925,50.0,0.0,0.0,0.0,0.0,0.0,6000,2000.0,0.0,50.0,73.9300131549205,0.0
2.539424973011017,-5.1042609796524046,-6.0,0.5088571061491967,0.05957389231398701,0.286438838750124,0.0,0.0,0.0,0.0,0.02213353594113141,0.0,0.0,0.0,20.266981601715088,7.0,358.06034806754906,50.0,0.0,0.7513020833333334,0.7833333611488342,0.625,0.9375,7000,3000.0,0.0,50.0,41.077062092894124,0.5
2.1969491016864775,-6.11940031671524,-6.0,0.4471896869838238,0.054536564901471137,0.29531847217679025,0.0,0.0,0.0,0.0,0.025109866480343045,0.0,0.0,0.0,10.994993448257446,8.0,305.59971512446646,100.0,0.0,0.0,0.0,0.0,0.0,8000,1000.0,0.0,100.0,29.06540477303358,1.0
1.7422714166641236,-7.305686901569366,-6.0,0.38732892787456513,0.05000437781959772,0.3144112350642681,0.0,0.0,0.0,0.0,0.026048625559546054,0.0,0.0,0.0,11.022111177444458,9.0,423.5590307592647,100.0,0.0,0.0,0.0,0.0,0.0,9000,2000.0,0.0,100.0,92.3181959966112,1.0
1.6051570194959641,-8.06596378660202,-6.0,0.34876648265123367,0.045862681295722726,0.21049033670127393,0.0,0.0,0.0,0.0,0.027430091178044676,0.0,0.0,0.0,14.440168619155884,10.0,473.60706094349734,100.0,0.0,0.69921875,0.5,0.515625,0.8555556138356527,10000,3000.0,0.0,100.0,99.32725324291937,1.5
1.5532077736854553,-8.743777862548828,-6.0,0.31706205490231515,0.0419726346693933,0.21780968575179577,0.0,0.0,0.0,0.0,0.025075028998777272,0.0,0.0,0.0,10.97240138053894,11.0,279.7157764826552,150.0,0.0,0.0,0.0,0.0,0.0,11000,1000.0,0.0,150.0,34.71250768403782,2.0
