step,window_id,reward_update_count,total_feedback,labeled_feedback,train_fit_acc,acc_train,acc_heldout,acc_onpolicy,acc_fixed_ref
10000,0,1,100,100,0.975,0.9833333492279053,0.6333333452542623,0.6302083333333334,0.7278645833333334
30000,1,2,200,200,0.975,0.9791666865348816,0.5083333353201548,0.7291666666666666,0.6979166666666666
50000,2,3,300,300,0.9736111111111111,0.9694444934527079,0.5111111203829447,0.609375,0.69140625
70000,3,4,400,400,0.9729166666666668,0.9729166825612386,0.562500019868215,0.5833333333333334,0.6966145833333334
90000,4,5,500,500,0.9725,0.9891666372617086,0.5599999825159708,0.6666666666666666,0.6979166666666666
110000,5,6,600,600,0.9722222222222223,0.9680555860201517,0.5916666984558105,0.640625,0.6653645833333334
130000,6,7,700,700,0.9708333333333333,0.974404772122701,0.6166666746139526,0.6041666666666666,0.6497395833333334
150000,7,8,800,800,0.9744791666666667,0.981250007947286,0.618749996026357,0.625,0.65625
170000,8,9,900,900,0.9703703703703703,0.9861111243565878,0.6203703681627909,0.7552083333333334,0.6536458333333334
190000,9,10,1000,1000,0.9770833333333334,0.9758332967758179,0.596666673819224,0.65625,0.63671875
