step,window_id,reward_update_count,total_feedback,labeled_feedback,train_fit_acc,acc_train,acc_heldout,acc_onpolicy,acc_fixed_ref
3000,0,1,50,50,0.9083333333333333,0.850000003973643,0.7333333293596903,0.4791666666666667,0.5729166666666666
6000,1,2,100,100,0.875,0.8833333452542623,0.75,0.7604166666666666,0.6666666666666666
9000,2,3,150,150,0.888888888888889,0.894444485505422,0.8333333929379781,0.3854166666666667,0.6979166666666666
