actor_entropy,actor_loss,actor_target_entropy,alpha_loss,alpha_value,batch_reward,bc_loss,critic_entropy,critic_entropy_max,critic_entropy_min,critic_loss,critic_norm_entropy,critic_norm_entropy_max,critic_norm_entropy_min,duration,episode,episode_reward,labeled_feedback,noisy_feedback,reward_acc_fixed_ref,reward_acc_heldout,reward_acc_onpolicy,reward_acc_train,step,step_in_window,total_duration,total_feedback,true_episode_reward,window_id
-0.45592737828639596,-6.641026904513767,-6.0,0.5370158318195257,0.09606161329511169,-0.0413717268756381,0.0,9.634993660080063,39.37405775831984,2.4589275361539364,0.3216464034728221,2.3645577387766794,9.60405076182521,0.6170975840067839,10.023298263549805,2.0,-39.61739190208755,0.0,0.0,0.0,0.0,0.0,0.0,2000,1000.0,0.0,0.0,33.52187269518552,-1.0
-3.2544108233451845,-13.311371535301209,-6.0,0.24880417445302008,0.09066284658759832,-0.05029142404720187,0.0,11.817840982437135,48.053326778411865,2.2766241416931154,0.3337887555658817,2.2089324944019317,9.002923966407776,0.42576337260007857,10.345358848571777,3.0,-54.109460731910076,0.0,0.0,0.0,0.0,0.0,0.0,3000,2000.0,0.0,0.0,165.75310466158857,-1.0
3.8417677307128906,-0.8149392262399197,-6.0,0.7874427491426468,0.0800041677057743,0.030662398650310934,0.0,0.0,0.0,0.0,0.03003905961755663,0.0,0.0,0.0,11.551178693771362,4.0,-59.37350271482137,0.0,0.0,0.5729166666666666,0.7333333293596903,0.4791666666666667,0.850000003973643,4000,3000.0,0.0,0.0,148.75350928699746,-0.5
3.71214307308197,-1.4418152153491974,-6.0,0.6945012353658676,0.07149582313746214,0.03376271424070001,0.0,0.0,0.0,0.0,0.009112320393323898,0.0,0.0,0.0,8.67885684967041,5.0,40.872834825833706,50.0,0.0,0.0,0.0,0.0,0.0,5000,1000.0,0.0,50.0,31.897463479787127,0.0
3.5392073433399203,-2.0108256694078444,-6.0,0.6194982996582985,0.06493512363359331,0.03492875749617815,0.0,0.0,0.0,0.0,0.009612213068641722,0.0,0.0,0.0,8.666754245758057,6.0,51.079513117612805,50.0,0.0,0.0,0.0,0.0,0.0,6000,2000.0,0.0,50.0,35.01187854410966,0.0
3.3034665517807005,-2.702166031360626,-6.0,0.5514002829790116,0.059250493157655,0.12415295702964067,0.0,0.0,0.0,0.0,0.012269118700176478,0.0,0.0,0.0,15.815468311309814,7.0,23.637937591665832,50.0,0.0,0.6666666666666666,0.75,0.7604166666666666,0.8833333452542623,7000,3000.0,0.0,50.0,29.509767397807366,0.5
3.0202005436420443,-3.383591292858124,-6.0,0.4889670913219452,0.05419730789586902,0.12516284155100585,0.0,0.0,0.0,0.0,0.012794194391462952,0.0,0.0,0.0,8.66092824935913,8.0,133.8728252006258,100.0,0.0,0.0,0.0,0.0,0.0,8000,1000.0,0.0,100.0,32.95945486944451,1.0
2.7788341534137726,-4.039511752128601,-6.0,0.43563738390803336,0.049613610107451675,0.1274008274897933,0.0,0.0,0.0,0.0,0.012336382372304798,0.0,0.0,0.0,8.657784938812256,9.0,127.42991864016221,100.0,0.0,0.0,0.0,0.0,0.0,9000,2000.0,0.0,100.0,32.17510649533039,1.0
2.7305098490715025,-4.508765814304351,-6.0,0.39641445949673654,0.04540361251682043,0.07715075254812837,0.0,0.0,0.0,0.0,0.013315843041986228,0.0,0.0,0.0,10.638549327850342,10.0,157.37971868138538,100.0,0.0,0.6979166666666666,0.8333333929379781,0.3854166666666667,0.894444485505422,10000,3000.0,0.0,100.0,34.740842459284295,1.5
2.5278404972553252,-4.921358668327332,-6.0,0.3542671735584736,0.04153463884815574,0.0790972152352333,0.0,0.0,0.0,0.0,0.012404989504255354,0.0,0.0,0.0,8.676944255828857,11.0,80.57985815811844,150.0,0.0,0.0,0.0,0.0,0.0,11000,1000.0,0.0,150.0,47.661271933752424,2.0
